,HK16,HK19,HK24,HK25,HK26,WT16,WT19,WT24,WT25,WT26
DDX11L1,0,0,0,1,0,0,0,0,0,0
WASH7P,19,33,50,38,39,25,66,70,43,39
MIR1302-11,0,0,1,0,0,0,0,1,0,1
FAM138A,0,0,0,0,0,0,0,0,0,0
OR4G4P,0,0,0,0,0,0,0,0,0,0
OR4G11P,0,0,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0,0,0,0
RP11-34P13.7,5,2,2,2,1,0,0,4,3,5
RP11-34P13.8,0,0,0,0,0,0,0,0,0,0
CICP27,2,0,0,0,2,0,0,1,0,5
AL627309.1,69,22,30,33,52,43,63,36,33,105
RP11-34P13.15,0,0,0,0,0,0,0,0,0,0
RP11-34P13.16,0,0,0,0,0,0,0,0,0,0
RP11-34P13.14,0,0,1,1,0,0,2,1,0,5
RP11-34P13.13,20,6,18,13,13,17,20,31,17,51
RNU6-1100P,0,0,0,0,0,0,0,1,0,2
RP11-34P13.9,0,0,0,0,0,0,0,0,0,0
AP006222.2,28,16,24,23,16,3,9,37,33,36
AP006222.1,0,0,0,0,0,0,0,0,0,0
RP4-669L17.10,1,8,4,4,2,7,29,4,3,11
RP4-669L17.8,0,0,0,0,0,0,0,0,0,0
CICP7,0,0,1,0,0,0,0,0,0,0
RP4-669L17.4,0,0,0,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0,0,0,0
WBP1LP7,0,0,0,0,0,0,0,0,0,0
AL732372.1,0,0,0,0,0,0,0,0,0,0
RP4-669L17.2,0,0,0,0,0,0,0,0,0,0
RP5-857K21.15,0,0,0,1,0,0,0,0,0,0
RP4-669L17.1,0,0,0,0,0,0,0,0,0,0
RP5-857K21.1,6,2,0,1,0,0,1,0,0,1
RP5-857K21.2,0,0,0,0,0,0,0,0,0,0
RP5-857K21.3,0,0,0,0,0,0,0,0,0,0
RP5-857K21.4,4,2,3,6,5,4,6,3,3,5
RP5-857K21.5,0,0,0,0,0,0,0,0,0,0
MTND1P23,143,39,66,96,77,21,3,17,21,7
MTND2P28,935,263,103,391,490,64,31,36,62,71
hsa-mir-6723,4882,1237,2003,2331,3277,260,122,1039,481,520
RP5-857K21.7,303,104,143,176,189,27,11,86,27,39
MTATP8P1,0,1,0,0,0,0,0,0,0,0
MTATP6P1,29706,6911,11665,12761,10860,1420,839,5273,2220,3158
RP5-857K21.11,521,149,248,313,263,13,20,138,53,49
WBP1LP6,0,0,0,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0,0,0,0
CICP3,0,0,0,0,0,0,0,0,0,0
RP11-206L10.1,3,3,2,2,5,1,4,3,4,2
RP11-206L10.3,14,3,14,11,4,0,11,11,20,20
RNU6-1199P,1,2,2,2,0,0,1,4,3,4
